,Amount,Date,Card Type,MCC Category,Location,Device,Previous Transactions,Balance Before Transaction,Time of Day,Velocity,Customer Age,Customer Income,Card Limit,Credit Score,Merchant Reputation,Merchant Location History,Spending Patterns,Online Transactions Frequency,Is Fraudulent
0,180.92499267061572,2023-07-02,Debit,Electronics,UK,Desktop,6,919.0552670906062,10,-0.33795533787392384,52,105545.3405434544,2503.758985840735,401,Average,6,828.8202983151384,Medium,0
1,794.6257974392151,2023-02-18,Prepaid,Groceries,Canada,Desktop,5,3529.930761525718,17,0.015116558972234295,62,92651.85440510653,12885.681726015839,409,Average,13,4384.528306589371,Low,1
2,818.4133029325131,2023-01-02,Prepaid,Electronics,UK,POS,5,6578.889930687726,4,-0.19845740797503775,42,90579.47928024146,2039.1058694795154,323,Good,1,733.2822238395964,High,0
3,530.3065216839805,2023-03-21,Credit,Restaurants,US,Mobile,3,8036.856327628584,20,-0.07674066741878749,76,63777.184315779756,5568.880207629162,674,Bad,1,670.0741475673397,High,0
4,649.1018527918816,2023-08-28,Debit,Electronics,Canada,Desktop,4,5342.795886533178,16,-0.029077052049589214,39,30620.998084805626,6945.439544948873,533,Good,3,550.6198745564259,Low,0
5,54.98690582530188,2023-03-11,Prepaid,Electronics,Canada,POS,2,8418.371824721893,5,0.406436888233499,42,54919.0120661687,4113.539921487829,352,Good,8,3329.5806031330153,High,0
6,262.7659339393216,2023-03-17,Credit,Travel,US,POS,3,2932.6976382731686,21,0.23636975618866196,66,130273.87657908205,14143.951084641161,801,Bad,17,860.4171187009272,Medium,0
7,369.04624960225266,2023-11-14,Credit,Groceries,Canada,Desktop,7,4575.46009861129,19,-0.4026623691947012,31,106291.01862310212,2249.7881020907307,616,Bad,5,1313.2963698676035,Medium,0
8,914.9910379126947,2023-02-26,Debit,Healthcare,US,POS,7,2443.9312746906003,18,0.40903107276192674,23,23327.92471998852,17030.196909955732,634,Bad,14,3516.2919567257522,Medium,0
9,475.6432409260979,2023-03-06,Credit,Restaurants,US,POS,6,2028.9034833120818,0,0.4244994848934167,63,110298.84962458358,2908.0635145981973,491,Bad,8,4386.422847846385,Medium,0
10,447.4256124962724,2023-04-13,Prepaid,Groceries,US,POS,1,7919.517991342058,16,0.42665648815734225,25,71287.54045213136,3708.5683326960475,380,Good,9,805.4877153106557,High,0
11,863.2199942115818,2023-06-04,Credit,Restaurants,Canada,POS,7,6748.523503227838,15,0.10567064928169645,49,83263.75238595114,12314.348045531158,479,Average,6,580.4365157619803,Low,0
12,190.68212214859224,2023-12-30,Debit,Electronics,France,Mobile,5,5401.328603149095,4,-0.15421047618772177,30,40248.70521715375,16937.997655413226,624,Bad,12,3857.068291521878,Medium,1
13,579.2810707664858,2023-10-28,Debit,Restaurants,France,Mobile,4,5336.350600287788,0,0.10706440271463369,45,81703.12837366296,11306.317757850718,516,Average,4,4880.661621182367,High,0
14,64.79720493955924,2023-02-18,Debit,Clothing,UK,POS,1,7761.054964099308,3,-0.47420445711279535,34,128589.80431551211,18330.337253851896,621,Good,18,1682.1833481940134,Medium,0
15,553.3695087197186,2023-06-05,Debit,Entertainment,Germany,POS,7,2740.8880784722846,11,-0.031153950663964203,76,143731.91809363666,12695.334987992004,635,Good,3,3751.0987473385353,Medium,0
16,185.72419082159752,2023-10-09,Debit,Travel,US,Desktop,0,1972.30315962848,9,-0.496041533280819,21,99362.71894728845,6099.48901188046,658,Average,1,3181.6074671667516,Medium,0
17,880.2013927889393,2023-07-23,Debit,Entertainment,Canada,Mobile,6,4288.912732733459,11,0.2818606842326563,47,69018.49629169662,16828.183915304184,308,Good,14,3264.694420983702,Medium,0
18,628.3201879150843,2023-01-16,Prepaid,Travel,UK,POS,9,8374.770335502988,9,0.21973041354870837,77,22292.192397618728,18460.126976771466,479,Bad,6,773.4349447893072,Medium,0
19,128.11826867555862,2023-07-19,Debit,Restaurants,US,POS,5,3829.502010858802,5,-0.4365621558487708,59,97700.30118113031,17528.77925401229,809,Average,1,2042.66033982737,Medium,0
20,556.2597715034456,2023-06-02,Prepaid,Travel,US,Desktop,5,4920.53515707256,21,0.47957240013400604,64,58825.177137002735,8238.169597158309,336,Bad,17,4857.004928819814,Low,0
21,399.82456091902105,2023-11-14,Debit,Entertainment,France,Desktop,5,518.25575539747,16,-0.07526824795378584,36,38090.00939984289,15811.74959033336,341,Good,9,4290.430407493028,High,0
22,271.10849078376464,2023-12-23,Credit,Electronics,UK,Desktop,1,4985.9461268988225,9,0.3744001276185607,63,94474.63201403615,12395.572018356237,632,Average,17,4313.087252357847,High,0
23,422.6981468006605,2023-08-11,Credit,Healthcare,France,Mobile,3,7104.477195946072,15,0.07479330916524896,21,112606.51014537796,19721.79035620039,386,Average,15,1690.3569849044927,High,0
24,910.548293793854,2023-10-13,Credit,Clothing,Canada,POS,4,6811.136498719841,16,-0.38572540527849253,66,65699.389150345,5932.146719261798,800,Good,3,1152.4819394254207,High,0
25,638.1640349174411,2023-11-01,Prepaid,Groceries,UK,POS,8,7213.784822618714,13,0.4897883239911167,39,35510.880279642006,15401.851892128583,814,Average,2,4736.002512451467,High,0
26,163.0837536833346,2023-04-28,Debit,Restaurants,US,POS,3,9162.573015191323,12,-0.44604862009675894,79,71539.04791692857,6324.448432239537,628,Bad,16,2739.8954316305885,Low,0
27,925.6485099913467,2023-02-19,Prepaid,Entertainment,France,POS,5,4200.618168558414,7,0.4463728829322543,53,86531.56465890273,8368.616206769595,453,Good,11,1234.5989153441778,Medium,0
28,246.93155522268154,2023-09-12,Prepaid,Clothing,Germany,Desktop,8,5609.508762389355,2,-0.1573266806495548,38,58597.38150051426,8887.752725690198,377,Average,1,609.7657161266847,Low,0
29,490.954967371765,2023-04-08,Debit,Clothing,US,Desktop,2,4011.5518737881544,19,-0.43029120609302485,44,45163.412587724895,9797.220482892351,771,Average,3,770.1300642528931,Low,0
30,982.4499973461124,2023-09-26,Credit,Electronics,Canada,Desktop,9,2918.566207855692,10,0.10301701320107504,63,58569.15334759772,3576.5985102038217,473,Bad,16,1797.4058212533632,Low,0
31,906.4984409928679,2023-03-26,Credit,Electronics,Germany,Desktop,9,1390.0501022755361,20,-0.0018852993415120478,71,104856.24669957218,17200.91279093098,542,Bad,14,4238.992823417998,Medium,0
32,325.6902191628781,2023-09-04,Debit,Groceries,Canada,Mobile,1,6678.75148112493,0,-0.22381894454811513,72,20084.71540332981,15887.267400085559,336,Good,12,2871.531117317737,Low,1
33,695.9174861855297,2023-12-21,Prepaid,Electronics,Germany,Desktop,5,5213.87768684408,2,0.4926285974323986,78,76334.36468486085,8010.942264578722,654,Bad,5,1477.4701302760977,High,0
34,372.484699484591,2023-03-07,Debit,Clothing,UK,Mobile,1,4645.193272727906,18,-0.1770389700204006,55,96094.74571372365,11095.148316205541,374,Average,15,767.5621227444244,Medium,0
35,554.6094707180179,2023-01-25,Debit,Entertainment,UK,POS,9,2883.5710385385623,7,-0.4579567045758455,28,74404.00878717419,12921.119506054227,569,Bad,15,2088.7460493869444,Low,0
36,36.539233179834014,2023-09-07,Prepaid,Healthcare,US,Mobile,2,1850.0315494911663,1,0.42831670691782064,26,93456.49745188034,19350.558767564165,849,Average,1,801.2032697332074,Medium,0
37,454.72890870509457,2023-05-09,Debit,Clothing,Canada,POS,9,7840.2296395815465,20,0.20865706105018322,27,54300.602299750484,4151.584113444216,523,Good,3,690.6275964057942,Medium,0
38,371.93926320955694,2023-05-05,Credit,Healthcare,Canada,Desktop,0,2307.0015957668934,17,-0.29258314365913607,36,64129.1745948967,7811.460175280076,540,Good,9,1846.005101665094,High,1
39,709.6129642095993,2023-12-30,Credit,Electronics,Germany,Mobile,5,9620.791709469911,5,0.29835428342856607,42,105906.74211074333,7783.797165906218,332,Good,6,2005.899163584414,Low,0
40,636.7697651554789,2023-10-27,Debit,Electronics,Canada,POS,5,2207.743828115459,11,0.30502076674843337,39,63308.83880472777,9192.161175044188,843,Good,2,726.6754860712155,High,0
41,962.4604799463559,2023-06-19,Prepaid,Electronics,Germany,Desktop,7,8373.460214503571,6,-0.3831174152644239,41,40012.36914299523,19178.636012518808,498,Good,4,1826.9613824601406,High,0
42,656.5510121325848,2023-02-05,Credit,Travel,US,Desktop,7,4936.180055258943,13,-0.278689357190563,44,110169.99504443162,15498.172066005503,738,Good,9,2274.484389203565,Medium,0
43,726.3919363826445,2023-04-25,Credit,Travel,US,Desktop,1,4469.9997267833005,12,-0.15039985360402686,48,89199.84984938038,10579.922658640631,705,Bad,12,4807.311307434531,Medium,0
44,917.9631531709798,2023-07-22,Prepaid,Entertainment,France,Mobile,4,9105.50198994735,9,-0.010166494091239708,74,92372.85589767233,8196.500287644827,450,Good,10,924.246196402582,Low,0
45,590.62221080485,2023-12-15,Debit,Healthcare,France,POS,2,5265.6602376083,10,-0.4679010760833533,27,98139.66996239938,1709.358852824241,520,Average,12,923.8606026822501,Low,0
46,340.1033691167833,2023-05-05,Prepaid,Entertainment,UK,Mobile,2,5012.740393793789,13,-0.05691827386988779,41,56143.96332873625,18892.435953512628,618,Good,6,704.626615906838,High,0
47,954.9554556877828,2023-02-19,Credit,Groceries,UK,Desktop,1,4486.7537093037745,19,-0.46405032565412707,35,95582.85147803146,19832.66182221053,605,Bad,13,4842.181264734234,High,0
48,137.75504565649794,2023-12-10,Debit,Travel,US,POS,5,2011.1891399294977,20,0.28782871574631275,51,92913.51398294189,9543.470082228847,506,Average,9,1847.7758428026277,High,0
49,656.9291233169529,2023-01-01,Debit,Clothing,US,Mobile,3,8094.368818261077,1,0.05728175144763148,36,109498.30245162855,13126.098711213168,300,Bad,17,1176.854857812289,Low,0
50,261.49666070575233,2023-08-10,Debit,Electronics,France,POS,4,6359.547362861316,2,0.0027889933130405,69,57637.925931207246,11952.142914349566,822,Good,13,4118.4059453774225,Medium,0
51,137.22576579570756,2023-12-31,Prepaid,Travel,Germany,Desktop,0,4385.372090417885,15,-0.04289112640700343,65,117546.27170159947,5595.190642377492,532,Bad,12,3140.3698620094224,Low,0
